frequency_rank,character,pinyin
420,随,sui
421,声,sheng
422,片,pian
423,系,xi
424,队,dui
425,计划,ji hua
426,表现,biao xian
427,机构,ji gou
428,告诉,gao su
429,资金,zi jin
430,过去,guo qu
431,写,xie
432,越,yue
433,不断,bu duan
434,基金,ji jin
435,改革,gai ge
436,国内,guo nei
437,拿,na
438,基本,ji ben
439,力,li
440,站,zhan
441,建立,jian li
442,曾,ceng
443,商,shang
444,原因,yuan yin
445,进,jin
446,分析,fen xi
447,卡,ka
448,如何,ru he
449,直接,zhi jie
450,不知道,bu zhi dao
451,门,men
452,基础,ji chu
453,度,du
454,任何,ren he
455,少,shao
456,送,song
457,一般,yi ban
458,国,guo
459,加强,jia qiang
460,子,zi
461,非,fei
462,经过,jing guo
463,工程,gong cheng
464,金,jin
465,治疗,zhi liao
466,完,wan
467,形成,xing cheng
468,即,ji
469,网络,wang luo
470,级,ji
471,小时,xiao shi
472,机会,ji hui
473,准备,zhun bei
474,接受,jie shou
475,明显,ming xian
476,努力,nu li
477,最大,zui da
478,花,hua
479,您,nin
480,消息,xiao xi
481,甚至,shen zhi
482,制度,zhi du
483,行业,hang ye
484,别人,bie ren
485,那些,na xie
486,完全,wan quan
487,调查,diao cha
488,地区,di qu
489,群众,qun zhong
490,阿,a
491,或者,huo zhe
492,更多,geng duo
493,一个人,yi ge ren
494,电话,dian hua
495,业务,ye wu
496,间,jian
497,睡,shui
498,经,jing
499,学,xue
500,经营,jing ying
501,条件,tiao jian
502,女人,nv ren
503,可是,ke shi
504,一切,yi qie
505,儿,er
506,为什么,wei shen me
507,仅,jin
508,终于,zhong yu
509,相关,xiang guan
510,进一步,jin yi bu
511,口,kou
512,精神,jing shen
513,功能,gong neng
514,人们,ren men
515,按,an
516,历史,li shi
517,左右,zuo you
518,男人,nan ren
519,房,fang
520,接,jie
521,台,tai
522,当时,dang shi
523,幸福,xing fu
524,座,zuo
525,文,wen
526,线,xian
527,呀,ya
528,处理,chu li
529,银行,yin hang
530,质量,zhi liang
531,采用,cai yong
532,许多,xu duo
533,下午,xia wu
534,主,zhu
535,这次,zhe ci
536,价,jia
537,刚,gang
538,近,jin
539,生,sheng
540,控制,kong zhi
541,无法,wu fa
542,玩,wan
543,利用,li yong
544,拉,la
545,内容,nei rong
546,不错,bu cuo
547,搞,gao
548,造成,zao cheng
549,行为,xing wei
550,目标,mu biao
551,约,yue
552,只要,zhi yao
553,思想,si xiang
554,以来,yi lai
555,有人,you ren
556,突然,tu ran
557,回复,hui fu
558,销售,xiao shou
559,报告,bao gao
560,红,hong
561,交,jiao
562,球,qiu
563,每天,mei tian
564,产业,chan ye
565,如此,ru ci
566,实施,shi shi
567,汽车,qi che
568,原来,yuan lai
569,重,zhong
570,盘,pan
571,举行,ju xing
572,来自,lai zi
573,媒体,mei ti
574,全部,quan bu
575,积极,ji ji
576,调整,tiao zheng
577,版,ban
578,产生,chan sheng
579,是否,shi fou
580,明天,ming tian
581,城,cheng
582,健康,jian kang
583,资源,zi yuan
584,来说,lai shuo
585,穿,chuan
586,品牌,pin pai
587,喝,he
588,严重,yan zhong
589,块,kuai
590,局,ju
591,现场,xian chang
592,党,dang
593,早,zao
594,几个,ji ge
595,男,nan
596,保护,bao hu
597,变化,bian hua
598,数,shu
599,才能,cai neng
600,游戏,you xi
601,医院,yi yuan
602,分钟,fen zhong
603,显示,xian shi
604,参与,can yu
605,坐,zuo
606,专家,zhuan jia
607,套,tao
608,关于,guan yu
609,看看,kan kan
610,军,jun
611,真正,zhen zheng
612,特别,te bie
613,自然,zi ran
614,海,hai
615,分别,fen bie
616,讲,jiang
617,脸,lian
618,上市,shang shi
619,取得,qu de
620,专业,zhuan ye
621,超过,chao guo
622,仍,reng
623,注意,zhu yi
624,未来,wei lai
625,最近,zui jin
626,重点,zhong dian
627,电影,dian ying
628,句,ju
629,较,jiao
630,晚上,wan shang
631,不仅,bu jin
632,法律,fa lv
633,帮助,bang zhu
634,结束,jie shu
635,眼,yan
636,只能,zhi neng
637,本报讯,ben bao xun
638,整个,zheng ge
639,拥有,yong you
640,除了,chu le
641,带来,dai lai
642,改变,gai bian
643,办法,ban fa
644,帮,bang
645,共,gong
646,书,shu
647,结构,jie gou
648,楼,lou
649,拍,pai
650,保持,bao chi
651,类,lei
652,某,mou
653,价值,jia zhi
654,不少,bu shao
655,检查,jian cha
656,求,qiu
657,认识,ren shi
658,越来越,yue lai yue
659,变,bian
660,农村,nong cun
661,包,bao
662,任务,ren wu
663,新华社,xin hua she
664,按照,an zhao
665,推荐,tui jian
666,选,xuan
667,考虑,kao lv
668,靠,kao
669,快乐,kuai le
670,科技,ke ji
671,全面,quan mian
672,香港,xiang gang
673,当然,dang ran
674,受到,shou dao
675,者,zhe
676,另外,ling wai
677,期,qi
678,晚,wan
679,字,zi
680,干部,gan bu
681,开展,kai zhan
682,边,bian
683,多少,duo shao
684,相信,xiang xin
685,昨日,zuo ri
686,管,guan
687,王,wang
688,另,ling
689,指,zhi
690,有效,you xiao
691,容易,rong yi
692,而是,er shi
693,收入,shou ru
694,人士,ren shi
695,不到,bu dao
696,十分,shi fen
697,政治,zheng zhi
698,之前,zhi qian
699,交易,jiao yi
700,正常,zheng chang
701,新闻,xin wen
702,地址,di zhi
703,购,gou
704,短,duan
705,收,shou
706,并不,bing bu
707,特,te
708,改,gai
709,克,ke
710,原,yuan
711,马,ma
712,实际,shi ji
713,最终,zui zhong
714,传统,chuan tong
715,换,huan
716,保证,bao zheng
717,首,shou
718,药,yao
719,常,chang
720,效果,xiao guo
721,责任,ze ren
722,店,dian
723,卖,mai
724,有的,you de
725,回家,hui jia
726,科学,ke xue
727,哥,ge
728,共同,gong tong
729,气,qi
730,措施,cuo shi
731,指出,zhi chu
732,神,shen
733,难,nan
734,意义,yi yi
735,经验,jing yan
736,有点,you dian
737,创新,chuang xin
738,建议,jian yi
739,伤,shang
740,哈,ha
741,之一,zhi yi
742,黑,hei
743,办,ban
744,白,bai
745,期间,qi jian
746,飞,fei
747,真是,zhen shi
748,程度,cheng du
749,患者,huan zhe
750,以前,yi qian
751,资产,zi chan
752,法,fa
753,远,yuan
754,山,shan
755,采取,cai qu
756,正式,zheng shi
757,家庭,jia ting
758,动,dong
759,具体,ju ti
760,权,quan
761,肯定,ken ding
762,光,guang
763,段,duan
764,血,xue
765,回来,hui lai
766,亲,qin
767,联系,lian xi
768,斯,si
769,导致,dao zhi
770,吨,dun
771,定,ding
772,更加,geng jia
773,案,an
774,深,shen
775,身体,shen ti
776,结合,jie he
777,引起,yin qi
778,优势,you shi
779,开心,kai xin
780,西,xi
781,讯,xun
782,因素,yin su
783,风,feng
784,老师,lao shi
785,不想,bu xiang
786,很大,hen da
787,油,you
788,人生,ren sheng
789,公,gong
790,言,yan
791,活,huo
792,数据,shu ju
793,物,wu
794,们,men
795,行动,xing dong
796,音乐,yin yue
797,友,you
798,减少,jian shao
799,压力,ya li
800,妈,ma
801,范围,fan wei
802,促进,cu jin
803,层,ceng
804,竞争,jing zheng
805,简单,jian dan
806,跑,pao
807,消费者,xiao fei zhe
808,干,gan
809,农民,nong min
810,最好,zui hao
811,用户,yong hu
812,冷,leng
813,相,xiang
814,充分,chong fen
815,利益,li yi
816,需求,xu qiu
817,病,bing
818,尔,er
819,风险,feng xian
820,运动,yun dong
821,还要,hai yao
822,空间,kong jian
823,装,zhuang
824,全球,quan qiu
825,想到,xiang dao
826,集中,ji zhong
827,力量,li liang
828,上午,shang wu
829,发表,fa biao
830,根本,gen ben
831,永远,yong yuan
832,半,ban
833,旅游,lv you
834,集团,ji tuan
835,木,mu
836,分享,fen xiang
837,生命,sheng ming
838,性,xing
839,速度,su du
840,方案,fang an
841,辆,liang
842,规划,gui hua
843,革命,ge ming
844,懂,dong
845,台湾,tai wan
846,当地,dang di
847,社会主义,she hui zhu yi
848,掉,diao
849,值,zhi
850,发挥,fa hui
851,大量,da liang
852,金融,jin rong
853,曾经,ceng jing
854,爱情,ai qing
855,事件,shi jian
856,是不是,shi bu shi
857,工业,gong ye
858,份,fen
859,衣,yi
860,歌,ge
861,细胞,xi bao
862,客户,ke hu
863,综合,zong he
864,总是,zong shi
865,于是,yu shi
866,既,ji
867,热,re
868,状态,zhuang tai
869,转发,zhuan fa
870,现,xian
871,双方,shuang fang
872,应用,ying yong
873,持续,chi xu
874,执行,zhi xing
875,冠军,guan jun
876,最高,zui gao
877,交通,jiao tong
878,妈妈,ma ma
879,牛,niu
880,电视,dian shi
881,再次,zai ci
882,理论,li lun
883,意见,yi jian
884,稳定,wen ding
885,首先,shou xian
886,支,zhi
887,战略,zhan lve
888,以为,yi wei
889,感,gan
890,成本,cheng ben
891,让人,rang ren
892,心里,xin li
893,推出,tui chu
894,底,di
895,面对,mian dui
896,很好,hen hao
897,平均,ping jun
898,宝,bao
899,证,zheng
900,知识,zhi shi
901,离开,li kai
902,刚刚,gang gang
903,团,tuan
904,土地,tu di
905,大学,da xue
906,尽管,jin guan
907,体,ti
908,厂,chang
909,以下,yi xia
910,说明,shuo ming
911,下降,xia jiang
912,杯,bei
913,表,biao
914,广州,guang zhou
915,现象,xian xiang
916,心情,xin qing
917,投,tou
918,同样,tong yang
919,对方,dui fang
920,并且,bing qie
921,哪,na
922,杀,sha
923,电脑,dian nao
924,差,cha
925,农业,nong ye
926,确定,que ding
927,几乎,ji hu
928,错,cuo
929,购买,gou mai
930,狗,gou
931,派,pai
932,村,cun
933,困难,kun nan
934,统一,tong yi
935,行政,xing zheng
936,领域,ling yu
937,人才,ren cai
938,里面,li mian
939,且,qie
940,资料,zi liao
941,设备,she bei
942,模式,mo shi
943,谢谢,xie xie
944,英国,ying guo
945,极,ji
946,经常,jing chang
947,代,dai
948,统计,tong ji
949,来到,lai dao
950,宣传,xuan chuan
951,第一次,di yi ci
952,服,fu
953,往,wang
954,消费,xiao fei
955,成绩,cheng ji
956,规模,gui mo
957,此次,ci ci
958,户,hu
959,投资者,tou zi zhe
960,安排,an pai
961,下来,xia lai
962,同志,tong zhi
963,重大,zhong da
964,明确,ming que
965,哭,ku
966,训练,xun lian
967,排,pai
968,负责,fu ze
969,色,se
970,居民,ju min
971,清,qing
972,实行,shi xing
973,满,man
974,都会,du hui
975,关键,guan jian
976,采访,cai fang
977,长期,chang qi
978,成立,cheng li
979,县,xian
980,嘛,ma
981,公布,gong bu
982,若,ruo
983,心理,xin li
984,事业,shi ye
985,节,jie
986,绝对,jue dui
987,保,bao
988,可爱,ke ai
989,市民,shi min
990,形式,xing shi
991,倍,bei
992,反,fan
993,股东,gu dong
994,良好,liang hao
995,倒,dao
996,轮,lun
997,儿子,er zi
998,幅,fu
999,属于,shu yu
1000,投入,tou ru
1001,建筑,jian zhu
1002,出口,chu kou
1003,现代,xian dai
1004,监督,jian du
1005,后来,hou lai
1006,广告,guang gao
1007,目的,mu di
1008,负责人,fu ze ren
1009,机制,ji zhi
1010,体系,ti xi
1011,保障,bao zhang
1012,今日,jin ri
1013,感到,gan dao
1014,连续,lian xu
1015,些,xie
1016,赛,sai
1017,令,ling
1018,仍然,reng ran
1019,似乎,si hu
1020,挺,ting
1021,房地产,fang di chan
1022,故事,gu shi
1023,初,chu
1024,留,liu
1025,时代,shi dai
1026,也许,ye xu
1027,联合,lian he
1028,方向,fang xiang
1029,民族,min zu
1030,劳动,lao dong
1031,素质,su zhi
1032,型,xing
1033,眼睛,yan jing
1034,相当,xiang dang
1035,酒,jiu
1036,特别是,te bie shi
1037,无论,wu lun
1038,认真,ren zhen
1039,梦,meng
1040,龙,long
1041,流,liu
1042,位置,wei zhi
1043,末,mo
1044,迅速,xun su
1045,期待,qi dai
1046,商业,shang ye
1047,战,zhan
1048,作品,zuo pin
1049,票,piao
1050,联,lian
1051,校,xiao
1052,量,liang
1053,阶段,jie duan
1054,扩大,kuo da
1055,好好,hao hao
1056,易,yi
1057,上涨,shang zhang
1058,明,ming
1059,降低,jiang di
1060,教学,jiao xue
1061,然而,ran er
1062,培养,pei yang
1063,面积,mian ji
1064,贷款,dai kuan
1065,召开,zhao kai
1066,怕,pa
1067,先生,xian sheng
1068,值得,zhi de
1069,科,ke
1070,中央,zhong yang
1071,讨论,tao lun
1072,唯,wei
1073,术,shu
1074,建,jian
1075,升,sheng
1076,韩国,han guo
1077,声音,sheng yin
1078,唱,chang
1079,说道,shuo dao
1080,担,dan
1081,抢,qiang
1082,东,dong
1083,看来,kan lai
1084,考试,kao shi
1085,材料,cai liao
1086,附近,fu jin
1087,世纪,shi ji
1088,愿意,yuan yi
1089,职工,zhi gong
1090,新浪,xin lang
1091,平方米,ping fang mi
1092,人民币,ren min bi
1093,夜,ye
1094,商品,shang pin
1095,秒,miao
1096,感谢,gan xie
1097,睡觉,shui jiao
1098,就要,jiu yao
1099,反应,fan ying
1100,满足,man zu
1101,发布,fa bu
1102,原则,yuan ze
1103,证明,zheng ming
1104,身边,shen bian
1105,反映,fan ying
1106,广大,guang da
1107,利,li
1108,特点,te dian
1109,算,suan
1110,逼,bi
1111,立即,li ji
1112,即使,ji shi
1113,每年,mei nian
1114,星,xing
1115,网站,wang zhan
1116,比如,bi ru
1117,翻,fan
1118,电子,dian zi
1119,需,xu
1120,到底,dao di
1121,记得,ji de
1122,及时,ji shi
1123,理解,li jie
1124,照片,zhao pian
1125,情,qing
1126,巨大,ju da
1127,恢复,hui fu
1128,相对,xiang dui
1129,创造,chuang zao
1130,重新,chong xin
1131,父母,fu mu
1132,从而,cong er
1133,过来,guo lai
1134,知,zhi
1135,居然,ju ran
1136,表明,biao ming
1137,食品,shi pin
1138,操作,cao zuo
1139,取,qu
1140,客,ke
1141,重视,zhong shi
1142,艺术,yi shu
1143,黄,huang
1144,变成,bian cheng
1145,停,ting
1146,每个,mei ge
1147,此外,ci wai
1148,不再,bu zai
1149,好像,hao xiang
1150,不了,bu liao
1151,哇,wa
1152,宣布,xuan bu
1153,男子,nan zi
1154,清楚,qing chu
1155,事故,shi gu
1156,假,jia
1157,粉,fen
1158,华,hua
1159,南,nan
1160,委员会,wei yuan hui
1161,累,lei
1162,剑,jian
1163,不可,bu ke
1164,月份,yue fen
1165,明白,ming bai
1166,死亡,si wang
1167,通,tong
1168,合同,he tong
1169,完善,wan shan
1170,除,chu
1171,现实,xian shi
1172,今晚,jin wan
1173,机关,ji guan
1174,德,de
1175,年代,nian dai
1176,抓,zhua
1177,青年,qing nian
1178,解释,jie shi
1179,唔,wu
1180,陪,pei
1181,班,ban
1182,欢迎,huan ying
1183,抱,bao
1184,普通,pu tong
1185,依然,yi ran
1186,痛,tong
1187,交流,jiao liu
1188,制,zhi
1189,步,bu
1190,强调,qiang diao
1191,平,ping
1192,胜,sheng
1193,透露,tou lu
1194,整体,zheng ti
1195,加入,jia ru
1196,选手,xuan shou
1197,正是,zheng shi
1198,培训,pei xun
1199,一段,yi duan
1200,习惯,xi guan
1201,竟然,jing ran
1202,职业,zhi ye
1203,区域,qu yu
1204,去了,qu le
1205,公开,gong kai
1206,教师,jiao shi
1207,左,zuo
1208,提,ti
1209,不用,bu yong
1210,鱼,yu
1211,它们,ta men
1212,防,fang
1213,委,wei
1214,享受,xiang shou
1215,哪里,na li
1216,合理,he li
1217,球员,qiu yuan
1218,不敢,bu gan
1219,比例,bi li
1220,脚,jiao
1221,手术,shou shu
1222,亮,liang
1223,费用,fei yong
1224,院,yuan
1225,预计,yu ji
1226,免费,mian fei
1227,姐,jie
1228,下去,xia qu
1229,至少,zhi shao
1230,考,kao
1231,遇到,yu dao
1232,不管,bu guan
1233,状况,zhuang kuang
1234,肉,rou
1235,上升,shang sheng
1236,推动,tui dong
1237,回到,hui dao
1238,家里,jia li
1239,传,chuan
1240,来源,lai yuan
1241,啥,sha
1242,听到,ting dao
1243,对手,dui shou
1244,基,ji
1245,出去,chu qu
1246,鞋,xie
1247,符合,fu he
1248,确实,que shi
1249,时尚,shi shang
1250,想要,xiang yao
1251,证券,zheng quan
1252,并没有,bing mei you
1253,医疗,yi liao
1254,毛,mao
1255,同学,tong xue
1256,人类,ren lei
1257,离,li
1258,制定,zhi ding
1259,北,bei
1260,端,duan
1261,公里,gong li
1262,态度,tai du
1263,股票,gu piao
1264,怎样,zen yang
1265,利润,li run
1266,体育,ti yu
1267,实力,shi li
1268,欧洲,ou zhou
1269,推,tui
1270,数量,shu liang
1271,载,zai
1272,那样,na yang
1273,她们,ta men
1274,社区,she qu
1275,挂,gua
1276,直,zhi
1277,保险,bao xian
1278,组成,zu cheng
1279,处于,chu yu
1280,针对,zhen dui
1281,经历,jing li
1282,丰富,feng fu
1283,改善,gai shan
1284,群,qun
1285,才是,cai shi
1286,落,luo
1287,更是,geng shi
1288,规范,gui fan
1289,推进,tui jin
1290,先进,xian jin
1291,指导,zhi dao
1292,忙,mang
1293,作者,zuo zhe
1294,那里,na li
1295,各地,ge di
1296,德国,de guo
1297,道路,dao lu
1298,女孩,nv hai
1299,心中,xin zhong
1300,警方,jing fang
1301,独立,du li
1302,发行,fa xing
1303,深圳,shen zhen
1304,所谓,suo wei
1305,相比,xiang bi
1306,不足,bu zu
1307,体现,ti xian
1308,犯罪,fan zui
1309,近日,jin ri
1310,放弃,fang qi
1311,每次,mei ci
1312,自由,zi you
1313,感情,gan qing
1314,任,ren
1315,式,shi
1316,适合,shi he
1317,时期,shi qi
1318,指标,zhi biao
1319,工作人员,gong zuo ren yuan
1320,人家,ren jia
1321,投票,tou piao
1322,内部,nei bu
1323,手段,shou duan
1324,天气,tian qi
1325,瓶,ping
1326,主席,zhu xi
1327,高度,gao du
1328,读,du
1329,胜利,sheng li
1330,首次,shou ci
1331,如今,ru jin
1332,教,jiao
1333,父亲,fu qin
1334,软件,ruan jian
1335,往往,wang wang
1336,民,min
1337,增强,zeng qiang
1338,具,ju
1339,观众,guan zhong
1340,女儿,nv er
1341,一边,yi bian
1342,马上,ma shang
1343,运,yun
1344,工人,gong ren
1345,一份,yi fen
1346,抗,kang
1347,实践,shi jian
1348,巴,ba
1349,滴,di
1350,节目,jie mu
1351,业,ye
1352,失去,shi qu
1353,症状,zheng zhuang
1354,置,zhi
1355,立,li
1356,银,yin
1357,申请,shen qing
1358,球队,qiu dui
1359,年轻,nian qing
1360,对此,dui ci
1361,快速,kuai su
1362,美丽,mei li
1363,应当,ying dang
1364,正确,zheng que
1365,说话,shuo hua
1366,观察,guan cha
1367,严格,yan ge
1368,加快,jia kuai
1369,核心,he xin
1370,突破,tu po
1371,地位,di wei
1372,形象,xing xiang
1373,顶,ding
1374,不知,bu zhi
1375,篇,pian
1376,总统,zong tong
1377,视频,shi pin
1378,协议,xie yi
1379,随后,sui hou
1380,老人,lao ren
1381,女性,nv xing
1382,基地,ji di
1383,同意,tong yi
1384,评论,ping lun
1385,右,you
1386,临床,lin chuang
1387,表达,biao da
1388,名字,ming zi
1389,石,shi
1390,贸易,mao yi
1391,儿童,er tong
1392,通知,tong zhi
1393,敢,gan
1394,医生,yi sheng
1395,床,chuang
1396,晚安,wan an
1397,纸,zhi
1398,难以,nan yi
1399,空,kong
1400,增,zeng
1401,画,hua
1402,很快,hen kuai
1403,举办,ju ban
1404,工,gong
1405,猫,mao
1406,试,shi
1407,当前,dang qian
1408,母亲,mu qin
1409,谈,tan
1410,人物,ren wu
1411,日子,ri zi
1412,实,shi
1413,有限公司,you xian gong si
1414,资本,zi ben
1415,招,zhao
1416,加上,jia shang
1417,看见,kan jian
1418,击,ji
1419,指数,zhi shu
1420,回答,hui da
1421,评价,ping jia
1422,女子,nv zi
1423,更好,geng hao
1424,著名,zhu ming
1425,调,diao
1426,加油,jia you
1427,法国,fa guo
1428,设施,she shi
1429,系列,xi lie
1430,板,ban
1431,卫生,wei sheng
1432,老板,lao ban
1433,安,an
1434,朝,chao
1435,含,han
1436,香,xiang
1437,结婚,jie hun
1438,尽,jin
1439,根,gen
1440,亦,yi
1441,精彩,jing cai
1442,合,he
1443,春,chun
1444,上述,shang shu
1445,亚,ya
1446,雪,xue
1447,当年,dang nian
1448,俄罗斯,e luo si
1449,令人,ling ren
1450,较大,jiao da
1451,架,jia
1452,位于,wei yu
1453,不可能,bu ke neng
1454,有所,you suo
1455,照,zhao
1456,深入,shen ru
1457,本来,ben lai
1458,牌,pai
1459,落实,luo shi
1460,镇,zhen
1461,尤其是,you qi shi
1462,菜,cai
1463,改造,gai zao
1464,林,lin
1465,刀,dao
1466,火,huo
1467,象,xiang
1468,甲,jia
1469,货,huo
1470,紧张,jin zhang
1471,乱,luan
1472,今后,jin hou
1473,成员,cheng yuan
1474,师,shi
1475,飞机,fei ji
